,rut,periodo,archive,predictor1_7,predictor1_8,predictor1_9,predictor1_10,predictor1_11,predictor1_12,ignite_ise,ind_compra_paga
531,dVwJIIEeoT,201912.0,20191231.0,80.0,37.0,48.0,68.0,153.0,87.0,D,0.0
532,wuHzk9pcee,201909.0,20190930.0,409.0,365.0,187.0,84.0,50.0,135.0,D,0.0
533,xxUgLhBW4M,201909.0,20190930.0,635.0,677.0,586.0,677.0,677.0,716.0,C3,0.0
534,1UTGX9smjm,201912.0,20191231.0,679.0,675.0,675.0,675.0,675.0,671.0,AB,0.0
535,h0zHMICQBQ,201812.0,20181231.0,,,,,,,D,0.0
536,cFmh9GVGwU,201911.0,20191130.0,541.0,541.0,630.0,630.0,536.0,490.0,C2,0.0
537,KHTqOIF4oo,201904.0,20190430.0,552.0,552.0,506.0,,,,C2,0.0
538,4lA0PPJ055,201901.0,20190131.0,,,,,,,D,0.0
539,GUSvFMgK7J,201809.0,20180930.0,,,,,,,E,0.0
540,Rly55rd5rI,201811.0,20181130.0,,,,,,,D,0.0
541,XlX4WP58t8,202001.0,20200131.0,768.0,696.0,696.0,696.0,764.0,692.0,D,0.0
542,GO6yreTInc,201912.0,20191231.0,564.0,564.0,564.0,608.0,564.0,383.0,C3,0.0
543,rTcpeN6ux1,201812.0,20181231.0,,,,,,,E,0.0
544,JsAS5qQMVn,201903.0,20190331.0,466.0,376.0,,,,,D,0.0
545,EYZQGHFhmq,201909.0,20190930.0,701.0,701.0,701.0,738.0,738.0,621.0,D,0.0
546,5mZjpatvwx,201812.0,20181231.0,,,,,,,D,0.0
547,selgIkkoUf,201807.0,20180731.0,,,,,,,C3,0.0
548,kCkxllVlRE,202002.0,20200229.0,609.0,609.0,609.0,635.0,635.0,757.0,C1b,0.0
549,ScLkiRnCI5,201812.0,20181231.0,,,,,,,C2,0.0
550,jwssfykrYH,201908.0,20190831.0,773.0,773.0,804.0,831.0,831.0,831.0,C2,0.0
551,peFFa1d4JC,201910.0,20191031.0,604.0,509.0,192.0,256.0,292.0,642.0,C2,0.0
552,Une1Sx11N0,201812.0,20181231.0,,,,,,,C2,0.0
553,3RQdfqosCp,201908.0,20190831.0,342.0,342.0,610.0,610.0,610.0,316.0,C2,0.0
554,XldH9TBmZt,202001.0,20200131.0,497.0,451.0,451.0,451.0,588.0,588.0,C3,0.0
555,SO03ca8VdV,201811.0,20181130.0,,,,,,,E,0.0
556,tPwbNUsasI,201908.0,20190831.0,693.0,693.0,693.0,688.0,688.0,648.0,C3,0.0
